,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00 - 00:59,x,x,x,x,x,x,x
01:00 - 01:59,x,x,x,x,x,x,x
02:00 - 02:59,x,x,x,x,x,x,x
03:00 - 03:59,x,x,x,x,x,x,x
04:00 - 04:59,x,x,x,x,x,x,x
05:00 - 05:59,x,x,x,x,x,x,x
06:00 - 06:59,x,x,x,x,x,x,x
07:00 - 07:59,x,x,x,x,x,x,x
08:00 - 08:59,x,x,x,x,x,x,x
09:00 - 09:59,x,x,x,x,x,x,x
10:00 - 10:59,x,x,x,x,x,x,x
11:00 - 11:59,x,x,x,x,x,x,x
12:00 - 12:59,x,x,x,x,x,x,x
13:00 - 13:59,x,x,x,x,x,x,x
14:00 - 14:59,x,x,x,x,x,x,x
15:00 - 15:59,x,x,x,x,x,x,x
16:00 - 16:59,x,x,x,x,x,x,x
17:00 - 17:59,x,x,x,x,x,x,x
18:00 - 18:59,x,x,x,x,x,x,x
19:00 - 19:59,x,x,x,x,x,x,x
20:00 - 20:59,x,x,x,x,x,x,x
21:00 - 21:59,x,x,x,x,x,x,x
22:00 - 22:59,x,x,x,x,x,x,x
23:00 - 23:59,x,x,x,x,x,x,x
